food,caloric_value,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,nutrition_density
rice noodles cooked,190,0.4,0.072,0.007,0.021,42.3,0.052,3.2,1.8,0.0,0.075,54.9
whole wheat macaroni cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,3.9,0.0,0.057,71.9
spaghetti cooked,363,2.1,0.4,0.3,0.7,71.0,1.3,13.3,4.1,0.0,0.089,90.8
whole wheat spaghetti cooked,174,0.8,0.1,0.1,0.3,37.2,1.1,7.5,6.3,0.0,0.091,74.3
waffle,218,10.6,2.1,2.6,5.1,24.7,0.0,5.9,0.0,51.8,0.4,234.547
baked taco shell,61,2.7,0.8,0.8,0.9,8.3,0.2,0.8,0.9,0.0,0.004,25.4
puff pastry,1367,94.3,13.5,21.6,54.5,112.0,1.8,18.1,3.7,0.0,0.6,259.0
blueberry muffin,214,9.2,1.6,2.7,4.6,30.2,17.9,2.6,0.6,17.1,0.2,42.915
bread crumbs,427,5.7,1.3,1.1,2.2,77.7,6.7,14.4,4.9,0.0,0.8,305.5
warm cinnamon roll mcdonalds,113,5.1,1.3,2.6,0.8,15.0,7.0,2.0,0.5,16.4,0.1,39.264
corn muffin,201,5.5,0.9,1.4,2.1,33.7,11.7,3.9,2.2,17.2,0.3,96.069
tortilla,467,1.9,0.6,0.4,0.8,98.4,5.4,14.3,4.7,0.0,0.9,264.7
croutons seasoned,186,7.3,2.1,3.8,0.9,25.4,1.8,4.3,2.0,2.8,0.4,78.5
buttermilk waffle,102,3.1,0.8,1.7,0.5,16.0,1.5,2.4,0.9,4.3,0.2,123.4
flour tortilla,146,3.7,0.6,1.9,1.1,24.1,1.3,3.9,1.2,0.0,0.4,114.4
glazed donut,55,3.0,1.2,0.9,0.5,6.2,3.0,0.8,0.3,3.9,0.082,23.931
corn tortilla,52,0.7,0.1,0.2,0.3,10.7,0.2,1.4,1.5,0.0,0.075,34.0
muffin,169,6.5,1.2,1.6,3.3,23.6,0.0,3.9,1.5,22.2,0.3,151.166
croutons,33,0.5,0.1,0.2,0.1,5.9,0.0,1.0,0.4,0.0,0.035,14.2
donut with jelly filling,289,15.9,4.1,8.7,2.0,33.2,17.9,5.0,0.8,22.1,0.4,77.736
sweet cinnamon rolls,309,13.6,2.6,4.0,6.2,42.2,26.3,5.1,2.0,54.8,0.3,125.783
oat bran muffin,46,1.3,0.2,0.3,0.7,8.2,1.4,1.2,0.8,0.0,0.067,22.9
french cruller donut,169,7.5,1.9,4.3,0.9,24.4,14.4,1.3,0.5,4.5,0.1,45.42
pancakes,86,3.7,0.8,0.9,1.7,10.8,0.0,2.4,0.0,22.4,0.2,100.942
chocolate donut,250,11.9,3.1,6.8,1.5,34.4,19.2,2.7,1.3,34.2,0.1,179.637
sweet cheese rolls,238,12.1,4.0,6.0,1.3,28.8,0.0,4.7,0.8,50.2,0.2,124.9
eclair,234,19.2,11.5,5.4,1.1,11.2,2.0,4.4,0.4,121.5,0.1,68.0
donut with cream filling,307,20.8,4.6,10.3,2.6,25.5,12.4,5.4,0.7,20.4,0.3,75.331
fruit toaster pastry,209,5.6,1.3,3.3,0.7,37.1,14.8,2.4,0.5,0.0,0.2,53.4
donut,192,10.3,2.7,5.7,1.3,22.9,0.0,2.3,0.7,14.4,0.2,63.823
pancakes whole wheat,92,2.9,0.8,0.8,1.1,12.9,0.0,3.7,1.2,26.8,0.3,132.377
keikitos,196,10.6,0.0,0.0,0.0,22.3,10.8,2.9,0.5,0.0,0.2,63.9
zwieback,30,0.7,0.2,0.3,0.1,5.2,0.9,0.7,0.2,0.6,0.05,7.083
chocolate coated donut,81,4.5,2.4,1.6,0.4,9.2,4.8,0.9,0.3,3.4,0.099,20.16
waffle toasted,103,3.2,0.5,1.6,0.7,16.3,1.7,2.4,0.8,5.0,0.2,126.4
cinnamon toaster pastry,206,7.1,1.8,4.0,0.9,34.1,0.0,2.6,0.5,0.0,0.2,63.489
wheat bran bread,89,1.2,0.3,0.6,0.2,17.2,3.5,3.2,1.4,0.0,0.2,50.7
white bread,77,1.0,0.2,0.2,0.5,14.3,1.6,2.6,0.8,0.0,0.1,18.931
oat bran bread,71,1.3,0.2,0.5,0.5,11.9,2.3,3.1,1.4,0.0,0.1,38.121
whole wheat bread natures own,50,1.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
high protein bread dr zaks,152,3.0,0.5,15.3,2.5,15.3,0.6,0.0,0.0,0.0,0.0,18.3
wheat bread,79,1.3,0.2,0.2,0.5,13.8,1.7,3.1,1.2,0.0,0.1,19.619
egg bread toasted,117,2.4,0.6,1.1,0.4,19.5,0.7,3.9,0.9,20.7,0.2,65.618
butter toastbrot ja,66,0.9,0.6,12.0,0.8,2.0,0.4,0.0,0.0,0.0,0.0,2.9
vienna bread toasted,93,0.6,0.1,0.1,0.2,18.0,1.0,3.8,0.9,0.0,0.2,38.073
vienna bread,92,0.6,0.2,0.1,0.3,18.1,0.8,3.8,0.8,0.0,0.2,38.633
protein bread,47,0.4,0.009,0.091,0.2,8.3,0.3,2.3,0.6,0.0,0.008,36.0
banana bread,186,6.0,1.3,2.6,1.8,31.1,0.0,2.5,0.6,24.5,0.2,54.061
rice bran bread,66,1.2,0.2,0.4,0.5,11.7,1.3,2.4,1.3,0.0,0.081,36.2
white fibre wonder bread,95,1.0,0.2,0.2,0.5,18.0,2.0,3.5,1.5,0.1,0.0,24.0
focaccia,142,4.5,0.5,3.2,0.6,20.4,1.0,5.0,1.0,0.0,0.3,52.7
oat bran bread toasted,70,1.3,0.2,0.5,0.5,11.8,2.3,3.1,1.3,0.0,0.1,37.631
rye bread,83,1.1,0.2,0.4,0.3,15.5,1.2,2.7,1.9,0.0,0.2,45.6
wheat germ bread,73,0.8,0.2,0.4,0.2,13.5,1.0,2.7,0.6,0.0,0.2,43.598
protein bread toasted,46,0.4,0.059,0.082,0.2,8.2,0.2,2.2,0.6,0.0,0.049,35.3
oatmeal bread,73,1.2,0.2,0.4,0.5,13.1,2.2,2.3,1.1,0.0,0.1,36.227
arepa,215,5.3,2.8,1.5,1.0,36.4,0.9,5.4,2.5,4.9,0.3,137.897
raisin bread toasted,86,1.4,0.3,0.7,0.2,16.5,1.8,2.5,1.4,0.0,0.1,43.7
cracked wheat bread,74,1.1,0.3,0.5,0.2,14.0,0.0,2.5,1.6,0.0,0.2,32.2
garlic bread,151,7.1,2.3,2.0,2.3,17.9,1.6,3.6,1.1,0.0,0.2,42.646
rye bread toasted,82,1.0,0.2,0.4,0.3,15.4,1.2,2.7,1.9,0.0,0.2,45.128
whole wheat bread,128,2.5,0.4,0.5,1.4,23.6,1.8,3.9,2.8,0.0,0.2,49.4
whole wheat bread toasted,128,2.5,0.4,0.5,1.4,23.7,1.8,3.9,2.8,0.0,0.2,49.4
pan dulce bread,231,7.3,1.4,2.2,1.0,35.5,7.9,5.9,1.4,18.9,0.1,106.92
rice bran bread toasted,66,1.3,0.2,0.4,0.5,11.8,1.3,2.4,1.3,0.0,0.026,36.6
pita bread whole wheat,74,0.7,0.1,0.053,0.3,15.4,0.2,2.7,2.1,0.0,0.1,26.0
wheat germ bread toasted,73,0.8,0.2,0.4,0.2,13.6,1.0,2.7,0.6,0.3,0.2,43.706
pumpernickel bread,65,0.8,0.1,0.2,0.3,12.4,0.1,2.3,1.7,0.0,0.2,35.6
frybread,502,18.6,7.0,6.7,1.6,73.4,3.1,10.2,0.0,10.6,0.5,194.9
white bread toasted,83,1.1,0.2,0.2,0.6,15.4,1.3,2.5,0.7,0.3,0.2,54.3
piki bread,109,2.0,0.2,0.5,0.5,20.2,0.4,2.5,2.6,0.0,0.028,80.5
wheat bread toasted,75,1.0,0.2,0.2,0.4,13.4,1.5,3.1,1.1,0.0,0.1,59.243
pita bread,165,0.7,0.091,0.038,0.3,33.4,0.8,5.5,1.3,0.0,0.3,94.1
potato bread,85,1.0,0.0,0.0,0.0,15.1,3.0,4.0,2.0,0.0,0.1,22.272
egg bread,115,2.4,0.6,0.9,0.4,19.1,0.7,3.8,0.9,20.4,0.2,64.622
oatmeal bread toasted,73,1.2,0.2,0.4,0.5,13.2,2.2,2.3,1.1,0.0,0.1,36.622
cheese bread,196,10.0,3.0,2.1,4.4,21.5,1.0,5.0,1.0,4.8,0.4,81.937
pumpernickel bread toasted,80,1.0,0.1,0.3,0.4,15.1,0.2,2.8,2.1,0.0,0.2,43.4
raisin bread,88,1.4,0.3,0.7,0.2,16.7,1.8,2.5,1.4,0.0,0.1,44.09
pumpernickel roll,77,0.8,0.1,0.2,0.3,14.8,0.1,3.0,1.5,0.0,0.1,39.7
cinnamon raisin bagel,71,0.4,0.054,0.079,0.2,14.4,1.6,2.5,0.6,0.0,0.047,24.016
english muffin,127,1.1,0.2,0.2,0.5,25.5,0.9,5.0,2.6,0.0,0.2,137.3
rye dinner roll,123,1.5,0.3,0.5,0.3,22.8,0.5,4.4,2.1,0.0,0.3,44.9
english muffin whole wheat,134,1.4,0.2,0.3,0.6,26.7,5.3,5.8,4.4,0.0,0.2,214.8
dinner roll whole wheat,74,1.3,0.2,0.3,0.6,14.3,2.4,2.4,2.1,0.0,0.1,50.5
dinner roll,76,1.8,0.4,0.9,0.3,12.9,0.5,2.4,1.1,0.0,0.1,68.5
hotdog roll,117,1.6,0.4,0.3,0.7,21.1,3.1,4.1,0.8,0.0,0.2,27.796
bagel,245,1.5,0.0,0.3,0.9,47.9,6.0,10.0,4.0,0.0,0.4,63.783
oat bran bagel,176,0.8,0.1,0.2,0.3,36.8,1.1,7.4,2.5,0.0,0.4,58.051
pain au chocolat de la boulangerie,235,12.0,27.6,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
egg bagel,72,0.5,0.1,0.1,0.2,13.8,0.0,2.8,0.6,6.2,0.1,22.349
english muffin toasted,140,1.1,0.3,0.2,0.5,27.4,1.8,5.4,1.5,0.0,0.2,141.1
english muffin whole wheat toasted,135,1.4,0.2,0.3,0.6,26.9,5.4,5.9,4.5,0.0,0.2,216.0
biscuit,357,16.5,4.4,7.0,4.2,45.0,2.2,7.1,1.5,3.0,0.6,310.6
french roll,105,1.6,0.4,0.7,0.3,19.1,0.1,3.3,1.2,0.0,0.2,60.8
oat bran dinner roll,78,1.5,0.2,0.5,0.5,13.3,2.2,3.1,1.4,0.0,0.1,48.8
pecan shortbread cookies,76,4.6,1.1,2.6,0.6,8.2,0.0,0.7,0.3,4.6,0.002,18.349
oatmeal cookies,113,4.5,1.1,2.5,0.6,17.2,6.2,1.6,0.7,0.0,0.1,34.069
chocolate wafers,485,15.9,4.7,5.4,4.7,81.1,33.2,7.4,3.8,2.2,0.8,147.442
vanilla wafers low fat,353,12.2,3.1,5.2,3.1,58.9,30.0,4.0,1.5,40.8,0.3,116.995
chocolate chip cookies mcdonalds,136,6.4,3.2,1.7,0.4,18.7,9.6,1.6,0.6,18.4,0.058,38.09
gingersnap cookies,29,0.7,0.2,0.4,0.062,5.4,1.4,0.4,0.2,0.0,0.012,12.5
biscotti abbracci mulino bianco,54,2.6,1.6,6.8,2.6,0.8,0.051,0.4,0.0,0.0,0.0,3.8
chocolate chip cookie,63,2.8,1.4,1.0,0.3,9.3,5.3,0.5,0.3,0.0,0.047,13.122
brownie,243,9.8,2.5,5.4,0.4,38.3,22.0,2.9,1.3,10.2,0.2,71.166
shortbread cookies,40,1.9,0.5,1.1,0.3,5.2,1.2,0.5,0.1,1.6,0.097,10.729
oatmeal cookies with raisins,65,2.4,0.5,1.0,0.8,10.3,0.0,1.0,0.0,5.0,0.022,29.198
peanut butter sandwich cookies,67,3.0,0.7,1.6,0.5,9.2,5.0,1.2,0.3,0.0,0.098,21.624
sugar cookies,72,3.2,0.8,1.8,0.4,10.2,5.7,0.8,0.1,7.7,0.007,17.981
chocolate covered graham crackers,68,3.2,1.8,1.1,0.1,9.3,5.8,0.8,0.4,0.0,0.067,22.313
raisin cookies,60,2.0,0.5,1.1,0.3,10.2,7.1,0.6,0.2,0.3,0.077,20.215
vanilla wafers,28,1.2,0.3,0.7,0.1,4.3,0.0,0.3,0.1,0.0,0.045,7.5
graham crackers,355,8.5,1.3,3.4,3.2,64.5,26.1,5.8,2.4,0.0,0.4,104.5
peanut butter cookies,95,4.8,0.9,2.2,1.4,11.8,0.0,1.8,0.0,6.2,0.1,26.738
vanilla sandwich cookie,72,3.0,0.4,1.3,1.1,10.8,5.9,0.7,0.2,0.0,0.044,19.1
sugar wafers with creme filling,51,2.3,1.2,0.8,0.3,7.1,4.3,0.4,0.2,0.0,0.06,13.1
cheese puffs,197,12.8,1.9,3.8,6.9,18.6,1.1,2.1,0.6,2.5,0.3,54.854
saltine crackers,13,0.3,0.097,0.098,0.1,2.2,0.063,0.3,0.022,0.0,0.067,3.081
trail mix,139,8.8,1.7,3.8,2.9,13.5,0.0,4.1,0.0,0.0,0.014,51.1
corn cones,144,7.6,6.4,0.5,0.2,17.8,0.0,1.6,0.3,0.0,0.3,28.8
chocolate pretzels,50,1.8,0.8,0.6,0.2,7.8,0.0,0.8,0.0,0.0,0.037,18.726
french toast sticks,73,3.8,0.9,2.1,0.6,8.9,2.1,1.3,0.3,0.0,0.001,26.1
crackers,82,4.2,0.9,1.0,2.1,9.8,1.3,1.1,0.4,0.0,0.1,15.764
sesame sticks,54,3.7,0.6,1.1,1.7,4.7,0.084,1.1,0.3,0.0,0.09,26.81
cheese crackers,34,1.6,0.4,0.4,0.7,4.2,0.3,0.8,0.2,0.2,0.065,7.053
oriental rice cracker mix,143,7.2,1.1,2.8,3.0,14.6,0.8,4.9,3.7,0.0,0.1,46.416
breadsticks,103,2.4,0.4,0.9,0.9,17.1,0.3,3.0,0.8,0.0,0.2,29.9
milk crackers,50,1.7,0.3,0.7,0.6,7.7,1.8,0.8,0.2,1.2,0.095,29.845
matzo crackers whole wheat,98,0.4,0.005,0.019,0.2,22.1,0.0,3.7,3.3,0.0,0.002,37.2
matzo crackers with egg,109,0.6,0.2,0.2,0.1,22.0,0.0,3.4,0.8,23.2,0.057,38.972
granola bites,23,0.9,0.5,0.2,0.1,3.3,1.5,0.4,0.3,0.0,0.067,5.042
crackers whole wheat,120,4.0,0.6,0.9,1.9,19.5,0.3,3.0,2.9,0.0,0.2,40.4
tropical trail mix,619,23.9,11.9,3.5,7.2,91.8,0.0,8.8,0.0,0.0,0.1,218.6
soft pretzels,389,3.6,0.8,1.2,1.1,79.8,0.3,9.4,2.0,3.5,0.9,125.8
corn tostada shell,58,2.9,0.9,0.9,1.0,7.9,0.0,0.8,0.7,0.0,0.084,21.8
matzo crackers,111,0.4,0.03,0.045,0.2,23.4,0.098,2.8,0.8,0.0,0.0,31.9
sesame crunch,9,0.6,0.096,0.2,0.3,0.9,0.6,0.2,0.1,0.0,0.027,13.351
trail mix with chocolate chips,707,46.6,8.9,19.8,16.5,65.6,0.0,20.7,0.0,5.8,0.2,298.8
cracker meal,440,2.0,0.3,0.2,0.8,93.0,0.4,10.7,3.0,0.0,0.078,140.5
puffed rice,153,0.2,0.037,0.0,0.0,34.1,0.0,2.4,0.6,0.0,0.053,51.6
filinchen gutena,19,0.2,0.056,3.6,0.031,0.5,0.028,0.4,0.0,0.0,0.0,1.1
melba toast crackers,117,1.0,0.1,0.2,0.4,23.0,0.3,3.6,1.9,0.0,0.2,58.5
matzo crackers with egg onion,109,1.1,0.3,0.3,0.3,21.6,0.0,2.8,1.4,12.6,0.052,38.316
cornnuts,126,4.4,0.7,2.7,0.9,20.3,0.2,2.4,2.0,0.0,0.2,32.1
bagel chips,789,26.5,12.0,10.6,3.6,116.1,10.5,21.6,7.2,0.0,0.4,222.2
pretzels,115,0.9,0.1,0.2,0.4,24.1,0.7,3.0,1.0,0.0,0.4,29.214
potato raw,164,0.2,0.028,0.063,0.071,37.2,1.7,4.3,4.7,0.0,0.072,115.7
gatto di patate home made,202,9.4,4.6,21.0,9.4,4.0,3.6,0.0,0.0,0.0,0.0,13.4
baked potato,161,0.2,0.074,0.086,0.1,36.6,2.0,4.3,3.8,0.0,0.097,45.667
potato sticks,188,12.4,3.2,2.2,6.4,19.2,0.006,2.4,1.2,0.0,0.2,59.5
potato cooked,52,0.006,0.003,0.027,0.071,12.1,0.5,1.1,1.2,0.0,0.035,25.487
vivaldi potatoes sainsburys,23,0.1,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
potato ham chowder soup,192,12.5,3.9,5.9,0.8,13.4,0.0,6.5,1.4,21.6,0.9,35.5
russet potato raw,292,0.3,0.06,0.061,0.2,66.7,2.3,7.9,4.8,0.0,0.068,151.9
russet potato baked,290,0.4,0.1,0.056,0.2,64.1,3.2,7.9,6.9,0.0,0.084,161.1
french fries,13,0.4,0.01,0.3,0.067,2.2,0.088,0.2,0.2,0.0,0.056,5.362
potato scalloped,216,9.0,5.5,2.5,0.4,26.4,0.0,7.0,4.7,29.4,0.8,214.2
cottage fries,11,0.4,0.084,0.2,0.055,1.9,0.019,0.2,0.2,0.0,0.058,4.413
mashed potatoes,215,6.8,1.4,1.7,3.2,35.5,1.2,4.0,3.1,0.0,0.7,93.836
mashed potato with milk and butter,237,8.9,5.5,2.2,0.4,35.3,3.0,3.9,3.2,23.1,0.7,114.854
red potato raw,149,0.3,0.074,0.001,0.1,33.9,2.7,4.0,3.6,0.0,0.02,83.0
potato pancake,59,3.2,0.5,0.8,1.7,6.1,0.4,1.3,0.7,20.9,0.2,24.864
potato puffs,243,11.0,2.3,7.7,0.6,35.5,0.3,2.6,3.2,0.0,0.6,79.1
red potato baked,74,0.1,0.008,0.078,0.004,16.7,1.2,2.0,1.5,0.0,0.037,20.689
potatoes canned,132,0.3,0.098,0.021,0.1,29.7,0.0,3.6,4.2,0.0,0.7,179.8
potato skin raw,22,0.099,0.093,0.008,0.07,4.7,0.0,1.0,1.0,0.0,0.053,23.697
shoestring french fries,4,0.1,0.059,0.083,0.06,0.7,0.062,0.099,0.099,0.0,0.055,1.604
hash brown potato,144,9.0,1.3,4.1,3.0,15.3,0.3,1.4,1.4,0.0,0.3,27.245
baked chips lays,130,2.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
corn chips,162,10.0,1.3,2.7,4.9,17.2,0.031,1.9,1.2,0.0,0.2,30.501
nacho cheese tortilla chips low fat,90,1.0,0.3,0.4,0.3,18.5,0.8,2.4,1.8,0.6,0.2,62.9
corn chips barbecue,1036,64.7,8.8,18.8,32.0,111.3,0.0,13.9,10.3,0.0,1.5,466.0
corn chips unsalted,490,29.4,3.8,8.0,15.0,50.5,1.2,5.8,3.9,0.0,0.024,202.0
potato chips fat free,860,1.4,0.3,0.06,0.6,190.1,8.4,21.9,17.0,0.0,1.5,339.1
sweet chilli kettle baked chips,99,2.2,0.3,16.9,1.2,2.1,0.4,2.0,0.0,0.0,0.0,6.3
taro chips,11,0.6,0.1,0.1,0.3,1.6,0.04,0.049,0.2,0.0,0.022,4.042
potato chips reduced fat,801,35.4,7.1,8.2,18.6,113.7,0.4,12.1,10.0,0.0,0.8,252.9
onion snacks,150,6.8,1.3,4.0,0.9,19.5,1.4,2.3,1.2,0.0,0.3,40.199
potato chips cheese,843,46.2,14.6,13.1,16.3,98.1,0.0,14.5,8.8,6.8,0.8,385.109
yuca cassava chips,9,0.4,0.1,0.1,0.1,1.2,0.006,0.054,0.002,0.0,0.041,2.621
tortilla chips low fat,117,1.6,0.2,0.5,0.8,22.6,0.2,3.1,1.5,0.0,0.1,74.368
ranch flavor tortilla chips,992,48.8,7.0,14.0,26.8,124.2,6.0,14.2,7.9,0.0,1.0,463.1
potato chips,161,10.4,3.3,3.0,3.7,15.9,0.007,2.1,1.4,0.0,0.021,46.8
tortilla chips,142,6.2,0.8,1.7,3.2,20.3,0.2,2.1,1.6,0.0,0.077,30.699
sweet potato chips,149,9.1,0.8,2.6,3.4,15.9,2.5,0.8,2.5,0.0,0.05,45.4
nacho cheese tortilla chips,156,8.2,1.2,2.7,3.7,18.2,0.8,2.2,1.5,0.0,0.2,30.369
vegetable chips,134,6.6,0.5,4.1,1.9,17.1,1.1,1.5,1.3,0.0,0.3,43.0
taco flavor tortilla chips,1090,54.9,10.5,32.4,7.6,143.2,0.0,17.9,12.0,11.4,1.8,586.5
potato chips barbecue,970,64.2,15.9,12.9,32.4,104.5,14.0,15.2,8.7,0.0,1.3,362.5
pita chips,137,4.6,0.4,3.3,0.6,20.5,1.4,3.5,1.1,0.0,0.3,29.893
potato chips sour cream and onion,1051,67.1,17.6,12.1,34.5,102.0,0.0,16.0,10.3,13.9,1.1,415.171
adobo fresco,780,60.2,8.4,43.1,5.9,53.6,5.8,5.8,3.7,0.0,49.4,503.4
chili pepper sauce red,3,0.089,0.073,0.096,0.071,0.6,0.4,0.1,0.1,0.0,0.003,6.755
creamy ranch sauce mcdonalds,132,14.7,2.2,3.1,8.0,1.0,1.0,0.3,0.0,5.9,0.2,24.274
catsup,19,0.066,0.026,0.051,0.065,4.5,3.7,0.2,0.053,0.0,0.2,8.299
chili pepper sauce green,3,0.032,0.048,0.037,0.016,0.8,0.4,0.1,0.3,0.0,0.03,12.206
red wine vinegar,3,0.0,0.0,0.0,0.0,0.011,0.0,0.055,0.0,0.0,0.092,1.221
fish sauce,6,0.013,0.08,0.0,0.039,0.7,0.7,0.9,0.0,0.0,1.4,9.498
coleslaw dressing reduced fat,56,3.4,0.5,1.5,1.3,6.8,6.6,0.0,0.045,4.3,0.3,16.403
sour dressing,21,2.0,1.6,0.2,0.035,0.6,0.6,0.4,0.0,0.6,0.094,16.853
guava sauce cooked,86,0.3,0.014,0.068,0.1,22.6,14.0,0.8,8.6,0.0,0.017,397.8
pizza sauce,136,2.9,1.2,1.2,0.2,21.8,9.5,5.5,5.0,0.0,0.9,35.8
sweetn sour sauce mcdonalds,48,0.3,0.075,0.091,0.1,11.0,10.0,0.2,0.0,0.0,0.2,13.7
nance syrup,4,0.002,0.0,0.0,0.0,0.8,0.6,0.028,0.3,0.0,0.035,3.227
french dressing reduced fat,37,2.2,0.2,0.9,0.8,4.7,4.6,0.072,0.2,0.0,0.072,9.052
peppercorn dressing,76,8.2,1.4,2.0,4.4,0.5,0.3,0.2,0.0,6.6,0.1,11.946
sorghum syrup,61,0.0,0.0,0.0,0.0,15.7,15.7,0.0,0.0,0.0,0.096,48.0
ranch dressing fat free,17,0.3,0.007,0.072,0.092,3.7,0.7,0.039,0.088,1.0,0.1,11.204
caesar dressing low calorie,17,0.7,0.1,0.2,0.4,2.8,2.4,0.028,0.053,0.3,0.2,7.293
sweet sour dressing,2,0.0,0.0,0.0,0.0,0.6,0.6,0.082,0.0,0.0,0.065,2.587
mayonnaise imitation fat free,13,0.4,0.005,0.3,0.031,2.5,1.6,0.043,0.3,1.4,0.1,4.313
sofrito,488,37.5,0.0,0.0,0.0,11.2,0.0,26.4,3.5,0.0,2.4,163.7
turkey gravy instant,27,1.0,0.3,0.4,0.3,3.9,0.5,0.8,0.3,1.6,0.3,14.333
teriyaki sauce,16,0.015,0.0,0.0,0.0,2.8,2.5,1.1,0.016,0.0,0.7,8.733
tomato sauce,59,0.7,0.1,0.1,0.3,13.0,8.7,2.9,3.7,0.0,0.083,20.864
barbecue sauce kraft,28,0.053,0.013,0.095,0.005,6.5,5.2,0.1,0.032,0.0,0.2,14.388
cranberry sauce sweetened,418,0.4,0.056,0.057,0.2,107.8,105.0,0.6,2.8,0.0,0.076,128.8
coleslaw dressing,62,5.3,0.8,1.4,2.9,3.8,3.2,0.1,0.024,4.2,0.1,11.62
onion gravy dry,77,0.7,0.4,0.2,0.024,16.2,0.0,2.2,1.4,0.5,1.0,89.6
corn syrup light,62,0.09,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.065,19.806
bacon tomato dressing,49,5.3,0.8,1.3,2.9,0.3,0.3,0.3,0.04,0.6,0.1,7.942
pancake syrup,53,0.075,0.025,0.094,0.042,13.9,8.4,0.0,0.0,0.0,0.064,15.031
balsamic vinegar,14,0.0,0.0,0.0,0.0,2.7,2.4,0.041,0.0,0.0,0.071,7.129
ranch dressing reduced fat,29,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,11.727
barbecue sauce mcdonalds,46,0.3,0.09,0.069,0.1,10.3,9.6,0.4,0.4,0.0,0.3,14.6
vinegar oil dressing,72,8.0,1.5,2.4,3.9,0.4,0.4,0.0,0.0,0.0,0.076,8.4
poppyseed dressing,66,5.5,1.0,1.4,2.9,4.0,3.9,0.2,0.03,2.5,0.1,19.612
honey mustard dressing,70,6.1,0.8,1.7,3.4,3.5,2.4,0.1,0.057,4.4,0.019,11.752
french dressing fat free,21,0.024,0.067,0.088,0.097,5.1,2.6,0.01,0.4,0.0,0.1,6.399
vinegar,3,0.0,0.0,0.0,0.0,0.089,0.063,0.0,0.0,0.0,0.024,1.02
spray dressing,13,0.9,0.1,0.0,0.0,1.3,1.1,0.07,0.075,0.0,0.012,2.931
honey mustard dressing fat free,25,0.2,0.031,0.1,0.056,5.8,2.7,0.2,0.2,0.2,0.2,10.426
mushroom gravy,119,6.4,1.0,2.8,2.4,13.0,0.0,3.0,1.0,0.0,1.4,41.7
white sauce,368,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,357.7
marinara pasta sauce,129,3.9,0.4,1.0,1.3,19.9,14.5,3.7,4.8,5.3,1.1,111.0
tomato sauce with mushrooms,86,0.3,0.027,0.025,0.1,20.7,14.1,3.6,3.7,0.0,1.1,92.8
pork gravy powder,25,0.6,0.3,0.3,0.007,4.3,1.7,0.6,0.2,0.7,0.4,15.363
beef gravy,123,5.5,2.7,2.2,0.2,11.2,0.5,8.7,0.9,7.0,1.5,41.982
green goddess dressing,64,6.5,0.9,1.4,3.5,1.1,1.0,0.3,0.094,6.0,0.1,13.2
salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,307.813
cocktail sauce,19,0.2,0.0,0.0,0.0,4.2,1.8,0.2,0.3,0.0,0.2,10.667
worcestershire sauce,13,0.0,0.0,0.0,0.0,3.3,1.7,0.0,0.0,0.0,0.2,24.673
barbecue sauce,29,0.1,0.009,0.047,0.064,6.9,5.7,0.1,0.2,0.0,0.2,13.1
tomato sauce with onions,103,0.5,0.007,0.047,0.2,24.4,0.0,3.8,4.4,0.0,1.3,108.2
brown gravy dry,22,0.6,0.2,0.3,0.061,3.6,0.0,0.6,0.1,0.2,0.3,13.021
blue cheese dressing light,14,0.4,0.1,0.2,0.1,2.1,0.6,0.3,0.0,1.6,0.2,13.835
spanish tomato sauce,81,0.7,0.007,0.016,0.3,17.7,0.0,3.5,3.4,0.0,1.2,96.3
oyster sauce,9,0.066,0.016,0.02,0.044,2.0,0.0,0.2,0.024,0.0,0.5,8.095
cheese sauce,30,2.2,1.2,0.7,0.2,0.8,0.033,1.5,0.071,5.7,0.002,51.263
hoisin sauce,35,0.5,0.036,0.2,0.3,7.1,4.4,0.5,0.4,0.5,0.3,13.882
pickle relish,20,0.061,0.093,0.083,0.036,5.3,4.4,0.097,0.2,0.0,0.1,6.381
tomato sauce with herbs cheese,144,4.7,1.5,0.9,2.0,25.0,0.0,5.2,5.4,7.3,1.3,157.1
french dressing,73,7.2,0.9,1.3,3.4,2.5,2.6,0.1,0.0,0.0,0.1,14.3
mayonnaise hellmanns,15,1.7,0.9,0.093,0.2,0.087,0.2,0.0,0.0,0.0,0.0,1.737
canadian maple syrup,76,0.0,0.0,0.0,0.0,19.1,17.0,0.0,0.0,0.0,0.086,49.95
maple syrup,52,0.047,0.036,0.014,0.085,13.4,13.6,0.09,0.0,0.0,0.059,33.895
